dis_no,year,seq,glide,disaster_group,disaster_subgroup,disaster_type,disaster_subtype,disaster_subsubtype,event_name,country,iso,region,continent,location,origin,associated_dis,associated_dis2,ofda_response,appeal,declaration,aid_contribution_thousand_usd,dis_mag_value,dis_mag_scale,latitude,longitude,local_time,river_basin,start_year,start_month,start_day,end_year,end_month,end_day,total_deaths,no_injured,no_affected,no_homeless,total_affected,reconstruction_costs_thousand_usd,reconstruction_costs_adjusted_thousand_usd,insured_damages_thousand_usd,insured_damages_adjusted_thousand_usd,total_damages_thousand_usd,total_damages_adjusted_thousand_usd,cpi,adm_level,admin1_code,admin2_code,geo_locations
2002-0168-DEU,2002,0168,,Natural,Biological,Epidemic,Viral disease,,,Germany,DEU,Western Europe,Europe,Coburg (Southern Bavaria),,,,,No,No,,,Vaccinated,,,,,2002,2,1,2002,2,1,,,600,,600,,,,,,,66.3819636999782,,,,
2002-0858-DEU,2002,0858,,Natural,Biological,Epidemic,Viral disease,,Acute respiratory syndrome (SARS),Germany,DEU,Western Europe,Europe,,,,,,No,No,,,Vaccinated,,,,,2003,3,9,2003,5,6,,,9,,9,,,,,,,66.3819636999782,,,,
2002-0420-DEU,2002,0420,,Natural,Meteorological,Storm,,,,Germany,DEU,Western Europe,Europe,Berlin province,,,,,,,,150,Kph,,,,,2002,7,10,2002,7,10,7,13,,,13,,,,,1e+05,150643,66.3819636999782,1,1310,,Berlin (Adm1).
2002-0553-FRA,2002,0553,,Natural,Hydrological,Flood,Flash flood,,,France,FRA,Western Europe,Europe,"Urrugne, Hendaye, Saint-Jean-de-Luz cities (Pyrénées-Atlantique district, Aquitaine province), Saint-Anne-du-Castellet city (Var district, Provence-Alpes-Cote-d'Azure province), Sain-Martin-de-Seignanx, Béarn cities (Landes district, Aquitaine province); Pyrénée-Orientales district",,,,,,,,,Km2,,,,,2002,8,25,2002,8,25,,,800,,800,,,,,,,66.3819636999782,2,,16242;16244;16289;16324,"Landes, Pyrenees-Atlantique, Pyrenees-Orientales, Var (Adm2)."
2002-0574-FRA,2002,0574,,Natural,Hydrological,Flood,Riverine flood,,,France,FRA,Western Europe,Europe,"Gard, Hérault districts (Languedo-Rousillon province), Vaucluse dsitrict (Provence-Alpes-Cote-d'Azure province), Rhone, Drome, Ardeche districts (Languedoc-Rousillon province)",Heavy rains,,,,,,,10480,Km2,,,,,2002,9,8,2002,9,12,23,,2500,,2500,,,398000,599560,1190000,1792656,66.3819636999782,2,,16286;16287;16325;16327;16328;16332,"Ardeche, Drome, Gard, Herault, Rhone, Vaucluse (Adm2)."
2002-0673-FRA,2002,0673,,Natural,Meteorological,Storm,Extra-tropical storm,,Jeanett,France,FRA,Western Europe,Europe,"Eure district (Haute-Normandie province), Manche, Calvados districts (Basse-Normandie province), Pas-de-Calais district (Nord-Pas-de-Calais province), Somme district (Picardie province), Seine-Maritime district (Haute-Normandie province), Seine-Saint-Denis district (Ile-de-France province)",,,,,,,,,Kph,,,,,2002,10,27,2002,10,27,4,3,,,3,,,,,1000,1506,66.3819636999782,2,,16249;16250;16276;16277;16282;16307;16315,"Calvados, Eure, Manche, Pas-de-Calais, Seine-Maritime, Seine-Saint-Denis, Somme (Adm2)."
2002-0858-FRA,2002,0858,,Natural,Biological,Epidemic,Viral disease,,Acute respiratory syndrome (SARS),France,FRA,Western Europe,Europe,,,,,,No,No,,,Vaccinated,,,,,2003,3,21,2003,6,3,1,,6,,6,,,,,,,66.3819636999782,,,,
2002-0012-FRA,2002,0012,,Natural,Hydrological,Flood,,,,France,FRA,Western Europe,Europe,"Vosges, Moselle district (Lorraine province), Haute-Marne district (Champagne-Ardenne province)",,,,,,,,,Km2,,,,,2002,1,,2002,1,,,,180,,180,,,,,,,66.3819636999782,2,,16268;16296;16297,"Haute-Marne, Moselle, Vosges (Adm2)."
2002-0712-FRA,2002,0712,,Natural,Meteorological,Storm,,,,France,FRA,Western Europe,Europe,"Var, Vaucluse districts (Provence-Alpes-Cote-d'Azure province)",,,,,,,,,Kph,,,,,2002,11,18,2002,11,18,1,,250,,250,,,,,,,66.3819636999782,2,,16324;16325,"Var, Vaucluse (Adm2)."
2003-0003-DEU,2003,0003,,Natural,Meteorological,Storm,Extra-tropical storm,,Calvann,Germany,DEU,Western Europe,Europe,"Baden-Wuerttemberg, Bayern, Berlin, Brandenburg, Bremen, Hamburg, Hessen, Mecklenburg-Vorpommern, Niedersachsen, Nordrhein-Westfalen, Rheinland-Pfalz, Saarland, Sachsen, Sachsen-Anhalt, Schleswig-Holstein, Thueringen provinces",,,,,,,,,Kph,,,,,2003,1,2,2003,1,2,5,,,,,,,1e+05,147299,3e+05,441898,67.8888956921058,1,1308;1309;1310;1311;1312;1313;1314;1315;1316;1317;1318;1319;1320;1321;1322;1323,,"Baden-Wuerttemberg, Bayern, Berlin, Brandenburg, Bremen, Hamburg, Hessen, Mecklenburg-Vorpommern, Niedersachsen, Nordrhein-Westfalen, Rheinland-Pfalz, Saarland, Sachsen, Sachsen-Anhalt, Schleswig-Holstein, Thueringen (Adm1)."
2003-0001-FRA,2003,0001,,Natural,Hydrological,Flood,Riverine flood,,,France,FRA,Western Europe,Europe,"Lisieux city (Calvados district, Basse-Normandie province) ; Ardennes district (Champagne-Ardenne province), Oise, Aisnes districts (Picardie province)",Heavy rains,,,,,,,,Km2,,,,"Seine, Oise, Aisnes",2003,1,1,2003,1,8,1,,,,,,,,,,,67.8888956921058,2,,16249;16266;16313;16314,"Aisne, Ardennes, Calvados, Oise (Adm2)."
2003-0003-FRA,2003,0003,,Natural,Meteorological,Storm,Extra-tropical storm,,Calvann,France,FRA,Western Europe,Europe,"Alsace, Champagne-Ardenne, Franche-Comte, Lorraine provinces (Nord-East region)",,,,,,,,,Kph,,,,,2003,1,2,2003,1,3,1,,,,,,,,,50,74,67.8888956921058,1,1248;1255;1257;1263,,"Alsace, Champagne-Ardenne, Franche-Comte, Lorraine (Adm1)."
2002-0677-NLD,2002,0677,,Natural,Meteorological,Storm,Extra-tropical storm,,Jeanett,Netherlands (the),NLD,Western Europe,Europe,"Drenthe, Flevoland, Friesland, Gelderland, Groningen, Limburg, Noord-brabant, Noord-holland, Overijssel, Utrecht, Zeeland, Zuid-holland",,,,,,,,,Kph,,,,,2002,10,26,2002,10,28,4,,,,,,,2e+05,301287,3e+05,451930,66.3819636999782,1,2158;2159;2160;2161;2162;2163;2164;2165;2166;2167;2168;2169,,"Drenthe, Flevoland, Friesland, Gelderland, Groningen, Limburg, Noord-brabant, Noord-holland, Overijssel, Utrecht, Zeeland, Zuid-holland (Adm1)."
2003-0391-AUT,2003,0391,,Natural,Meteorological,Extreme temperature,Heat wave,,,Austria,AUT,Western Europe,Europe,"Burgenland, Karnten, Niederosterreich, Oberosterreich, Steiernark, Salzburg, Tirol, Voralberg, Wien provinces",,Wildfire,Drought,,,,,,°C,,,,,2003,7,,2003,8,,345,,,,,,,,,280000,412439,67.8888956921058,1,478;479;480;481;482;483;484;485;486,,"Burgenland, Karnten, Niederosterreich, Oberosterreich, Salzburg, Steiermark, Tirol, Vorarlberg, Wien (Adm1)."
2003-0391-BEL,2003,0391,,Natural,Meteorological,Extreme temperature,Heat wave,,,Belgium,BEL,Western Europe,Europe,"Region de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewes, Region wallonne, Vlaams Gewest provinces",,Drought,,,,,,,°C,,,,,2003,8,1,2003,8,15,1175,,,,,,,,,,,67.8888956921058,1,600;601;602,,"Region de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewes, Region wallonne, Vlaams Gewest (Adm1)."
2003-0395-FRA,2003,0395,,Natural,Meteorological,Storm,,,,France,FRA,Western Europe,Europe,"Maine-et-Loire district (Pays-de-la-Loire province), Landes, Gironde districts (Aquitaire province), Charente-Maritime, Vienne districts (Poitou-Charentes province)",,Hail,Rain,,,,,160,Kph,,,,,2003,7,15,2003,7,15,5,70,,,70,,,,,,,67.8888956921058,2,,16241;16242;16309;16317;16319,"Charente-Maritime, Gironde, Landes, Maine-et-Loire, Vienne (Adm2)."
2003-0586-FRA,2003,0586,,Natural,Hydrological,Flood,Flash flood,,,France,FRA,Western Europe,Europe,"Herault, Gard districts (Langedoc-Rousillon province), Bouches-du-Rhone, Vaucluse districts (Provende-Alpes-Cote-d'Azure province) (South and East)","Heavy rains, high winds","Slide (land, mud, snow, rock)",,,,,,,Km2,,,,Rhone river,2003,12,2,2003,12,3,9,,27000,,27000,,,1010000,1487725,1500000,2209492,67.8888956921058,2,,16286;16287;16322;16325,"Bouches-du-Rhone, Gard, Herault, Vaucluse (Adm2)."
2003-0391-CHE,2003,0391,,Natural,Meteorological,Extreme temperature,Heat wave,,,Switzerland,CHE,Western Europe,Europe,"Aargau, Appenzll Ausser-rhoden, Appenzell Inner-rhoden, Basel-landschaft, Basel-stadt, Bern, Friboug, Genève, Glaurus, Graubünden, Jura, Luzern, Neuchâtel, Nidwalden, Obwalden, Sankt Gallen, Schaffhaussen, Schwyz, Solothurn, Thurgau, Ticino, Uri, Valais, Vaud, Zug, Zurich provinces",,Drought,,,,,,,°C,,,,,2003,7,,2003,7,,1039,,,,,,,,,280000,412439,67.8888956921058,1,2807;2808;2809;2810;2811;2812;2813;2814;2815;2816;2817;2818;2819;2820;2821;2822;2823;2824;2825;2826;2827;2828;2829;2830;2831;2832,,"Aargau, Appenzell Ausser-rhoden, Appenzell Inner-rhoden, Basel-landschaft, Basel-stadt, Bern, Fribourg, Geneve, Glarus, Graubunden, Jura, Luzern, Neuchatel, Nidwalden, Obwalden, Sankt Gallen, Schaffhausen, Schwyz, Solothurn, Thurgau, Ticino, Uri, Valais, Vaud, Zug, Zurich (Adm1)."
2003-0391-DEU,2003,0391,,Natural,Meteorological,Extreme temperature,Heat wave,,,Germany,DEU,Western Europe,Europe,"Baden-Wuerttemberg, Bayern, Berlin, Brandenburg, Bremen, Hamburg, Hessen, Mecklenburg-Vorpommern, Nierdersachsen, Nordrhein-Westfalen, Rheinland-Pfalz, Saarland, Sachsen, Sachsen-Anhalt, Schleswig-Holstein, Thueringen provinces",,Drought,,,,,,,°C,,,,,2003,8,,2003,8,,9355,,,,,,,10000,14730,1650000,2430442,67.8888956921058,1,1308;1309;1310;1311;1312;1313;1314;1315;1316;1317;1318;1319;1320;1321;1322;1323,,"Baden-Wuerttemberg, Bayern, Berlin, Brandenburg, Bremen, Hamburg, Hessen, Mecklenburg-Vorpommern, Niedersachsen, Nordrhein-Westfalen, Rheinland-Pfalz, Saarland, Sachsen, Sachsen-Anhalt, Schleswig-Holstein, Thueringen (Adm1)."
2003-0391-FRA,2003,0391,,Natural,Meteorological,Extreme temperature,Heat wave,,,France,FRA,Western Europe,Europe,"Alsace, Aquitaine, Auvergne, Basse-Normandie, Bourgogne, Bretagne, Centre, Champagne-Ardenne, Corse, Franche-Compte, Haute-Normandie, Ile-de-France, Languedoc-Rousillon, Limousin, Lorraine, Nord-Pas-de-Calais, Pays-de-la-Loire, Picardie, Poitou-Charentes, Provence-Alpes-Côte-D'azur, Rhône-Alpes, Midi-Pyrénées provinces",,Drought,,,,,,43,°C,,,,,2003,8,1,2003,8,20,19490,,,,,,,,,4400000,6481178,67.8888956921058,1,1248;1249;1250;1251;1252;1253;1254;1255;1256;1257;1258;1259;1260;1262;1263;1264;1265;1266;1267;1268;1269;1270,,"Alsace, Aquitaine, Auvergne, Basse-Normandie, Bourgogne, Bretagne, Centre, Champagne-Ardenne, Corse, Franche-Comte, Haute-Normandie, Ile-de-France, Languedoc-Rousillon, Limousin, Lorraine, Midi-Pyrenees, Nord-Pas-de-Calais, Pays-de-la-Loire, Picardie, Poitou-Charentes, Provence-Alpes-Cote-d'Azur, Rhone-Alpes (Adm1)."
2003-0781-DEU,2003,0781,,Natural,Meteorological,Storm,Convective storm,Lightning/Thunderstorms,,Germany,DEU,Western Europe,Europe,"Baden-Wuerttemberg, Bayern, Berlin, Brandenburg, Bremen, Hamburg, Hessen, Mecklenburg-Vorpommern, Niedersachsen, Nordrhein-Westfalen, Rheinland-Pfalz, Saarland, Sachsen, Sachsen-Anhalt, Schleswig-Holstein, Thueringen provinces",,,,,,,,,Kph,,,,,2003,6,7,2003,6,8,10,,,,,,,,,,,67.8888956921058,1,1308;1309;1310;1311;1312;1313;1314;1315;1316;1317;1318;1319;1320;1321;1322;1323,,"Baden-Wuerttemberg, Bayern, Berlin, Brandenburg, Bremen, Hamburg, Hessen, Mecklenburg-Vorpommern, Niedersachsen, Nordrhein-Westfalen, Rheinland-Pfalz, Saarland, Sachsen, Sachsen-Anhalt, Schleswig-Holstein, Thueringen (Adm1)."
2003-0365-FRA,2003,0365,,Natural,Climatological,Wildfire,Forest fire,,,France,FRA,Western Europe,Europe,"Massif des Maures mountain (Var district, Provence-Alpes-Cote-d'Azur province)","Drought, man",,,,,,,180,Km2,,,,,2003,7,28,2003,7,30,5,4,3000,,3004,,,,,,,67.8888956921058,2,,16324,Var (Adm2).
2003-0391-LUX,2003,0391,,Natural,Meteorological,Extreme temperature,Heat wave,,,Luxembourg,LUX,Western Europe,Europe,"Diekirch, Grevenmacher, Luxembourg provinces",,,,,,,,,°C,,,,,2003,7,,2003,7,,170,,,,,,,,,,,67.8888956921058,1,1876;1877;1878,,"Diekirch, Grevenmacher, Luxembourg (Adm1)."
2004-0427-FRA,2004,0427,,Natural,Meteorological,Storm,,,,France,FRA,Western Europe,Europe,"Alpes-maritimes, Var, Bouches-du-Rhone districts (Provence-Alpes-Cote-d'Azur province), Gard, Aude, Herault, Pyrenees-Orientales districts (Languedoc-Rousillon province) (Region Méditérranéenne), Aveyron, Lot districts (Midi-Pyrenees province), Lozère district (Langedoc-Rousillon province), Cantal, Haute-Loire, Puy-de-Dôme, Allier districts (Auvergne province), Loire district (Rhone-Alpes province), Creuse, Haute-Vienne, Corrèze districts (Limousin province) (Massif Central)",,Rain,,,,,,,Kph,,,,,2004,8,17,2004,8,18,11,,,,,,,,,,,69.7064421605073,2,,16245;16246;16247;16248;16288;16291;16292;16293;16299;16303;16331,"Allier, Aveyron, Cantal, Correze, Creuse, Haute-Loire, Haute-Vienne, Loire, Lot, Lozere, Puy-de-Dome (Adm2)."
2004-0669-DEU,2004,0669,,Natural,Geophysical,Earthquake,Ground movement,,,Germany,DEU,Western Europe,Europe,"Waldkirch, Emmendingen towns (Freiburg district, Baden-Wuerttemberg Province)",,,,,,,,5,Richter,48.115,8.077,,,2004,12,5,2004,12,5,,,150,,150,,,8000,11477,12000,17215,69.7064421605073,2,,16526,Freiburg (Adm2).
2004-0730-DEU,2004,0730,,Natural,Meteorological,Storm,,,Gerda,Germany,DEU,Western Europe,Europe,"Baden-Wuerttemberg, Bayern, Berlin, Brandenburg, Bremen, Hamburg, Hessen, Mecklenburg-Vorpommern, Niedersachsen, Nordrhein-Westfalen, Rheinland-Pfalz, Saarland, Sachsen, Sachsen-Anhalt, Schleswig-Holstein, Thueringen provinces",,,,,,,,200,Kph,,,,,2004,1,12,2004,1,13,2,,,,,,,1e+05,143459,130000,186496,69.7064421605073,1,1308;1309;1310;1311;1312;1313;1314;1315;1316;1317;1318;1319;1320;1321;1322;1323,,"Baden-Wuerttemberg, Bayern, Berlin, Brandenburg, Bremen, Hamburg, Hessen, Mecklenburg-Vorpommern, Niedersachsen, Nordrhein-Westfalen, Rheinland-Pfalz, Saarland, Sachsen, Sachsen-Anhalt, Schleswig-Holstein, Thueringen (Adm1)."
2005-0011-DEU,2005,0011,,Natural,Meteorological,Storm,Extra-tropical storm,,Erwin,Germany,DEU,Western Europe,Europe,Schleswig-Holstein province,,,,,,,,181,Kph,,,,,2005,1,8,2005,1,8,2,2,,,2,,,2e+05,277503,270000,374628,72.0714104526569,1,1322,,Schleswig-Holstein (Adm1).
2003-0391-NLD,2003,0391,,Natural,Meteorological,Extreme temperature,Heat wave,,,Netherlands (the),NLD,Western Europe,Europe,"Drenthe, Flevoland, Friesland, Gelderland, Groninge, Limburg, Noord-brabant, Noord-holland,Overijssel, Utrecht, Zeeland, Zuit-holland provinces",,,,,,,,,°C,,,,,2003,7,31,2003,8,13,965,,,,,,,,,,,67.8888956921058,1,2158;2159;2160;2161;2162;2163;2164;2165;2166;2167;2168;2169,,"Drenthe, Flevoland, Friesland, Gelderland, Groningen, Limburg, Noord-brabant, Noord-holland, Overijssel, Utrecht, Zeeland, Zuid-holland (Adm1)."
2005-0011-NLD,2005,0011,,Natural,Meteorological,Storm,Extra-tropical storm,,Erwin,Netherlands (the),NLD,Western Europe,Europe,"Drenthe, Flevoland, Friesland, Gelderland, Groningen, Limburg, Noord-brabant, Noord-holland, Overijssel, Utrecht, Zeeland, Zuid-holland provinces",,,,,,,,,Kph,,,,,2005,1,8,2005,1,8,,1,,,1,,,,,,,72.0714104526569,1,2158;2159;2160;2161;2162;2163;2164;2165;2166;2167;2168;2169,,"Drenthe, Flevoland, Friesland, Gelderland, Groningen, Limburg, Noord-brabant, Noord-holland, Overijssel, Utrecht, Zeeland, Zuid-holland (Adm1)."
2005-0512-BEL,2005,0512,,Natural,Hydrological,Flood,Flash flood,,,Belgium,BEL,Western Europe,Europe,"La Roche-en-Ardenne city (Ourthe valley, Luxembourg district, Region wallonne province), Vilvoorde, Diegem, Leuven cities (Vlaams-Brabant district, Vlaams Gewest province); Antwerpen district (Vlaams Gewest province); Brussels provinces",Thunderstorm,"Slide (land, mud, snow, rock)",,,,,,,Km2,,,,,2005,9,10,2005,9,11,,,210,,210,,,,,,,72.0714104526569,2,,5844;5847;5852;40442,"Antwerpen, Area without administration at 2nd level, Luxembourg, Vlaams-Brabant (Adm2)."
2005-0516-FRA,2005,0516,,Natural,Hydrological,Flood,Flash flood,,,France,FRA,Western Europe,Europe,"Hérault, Gard districts (Languedoc-Rousillon province), Alpes-Maritimes district (Provence-Alpes-Cote-d'Azur province)",Violent thunderstorms,"Slide (land, mud, snow, rock)",,,,,,9810,Km2,,,,,2005,9,7,2005,9,9,1,,3000,,3000,,,,,,,72.0714104526569,2,,16286;16287;16321,"Alpes-maritimes, Gard, Herault (Adm2)."
2005-0713-AUT,2005,0713,,Natural,Meteorological,Extreme temperature,Severe winter conditions,,,Austria,AUT,Western Europe,Europe,"Burgenland, Karnten, Niederosterreich, Oberosterreich, Salzburg, Steiermark, Tirol, Vorarlberg, Wien provinces",,Snow/ice,,,,,,-35,°C,,,,,2005,12,27,2006,1,,,,,,,,,,,,,72.0714104526569,1,478;479;480;481;482;483;484;485;486,,"Burgenland, Karnten, Niederosterreich, Oberosterreich, Salzburg, Steiermark, Tirol, Vorarlberg, Wien (Adm1)."
2005-0655-BEL,2005,0655,,Natural,Meteorological,Extreme temperature,Cold wave,,,Belgium,BEL,Western Europe,Europe,"Region Bruxelles-Capitale/Brussels Hoofdtedelijk Gewes, Région wallonne, Vlaams Gewest",,Snow/ice,,,,,,,°C,,,,,2005,11,25,2005,11,26,2,,,,,,,,,,,72.0714104526569,1,600;601;602,,"Region de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewes, Region wallonne, Vlaams Gewest (Adm1)."
2005-0713-BEL,2005,0713,,Natural,Meteorological,Extreme temperature,Severe winter conditions,,,Belgium,BEL,Western Europe,Europe,"Region de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewes, Vlaams Gewest, Region wallonne provinces",,Snow/ice,,,,,,,°C,,,,,2005,12,27,2005,12,30,,,,,,,,,,,,72.0714104526569,1,600;601;602,,"Region de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewes, Region wallonne, Vlaams Gewest (Adm1)."
2005-0655-DEU,2005,0655,,Natural,Meteorological,Extreme temperature,Cold wave,,,Germany,DEU,Western Europe,Europe,Nordrhein-Westfalen province,,Snow/ice,,,,,,,°C,,,,,2005,11,25,2005,11,27,1,165,,,165,,,150000,208127,3e+05,416254,72.0714104526569,1,1317,,Nordrhein-Westfalen (Adm1).
2005-0655-FRA,2005,0655,,Natural,Meteorological,Extreme temperature,Cold wave,,,France,FRA,Western Europe,Europe,"Alsace, Aquitaine, Auvergne, Basse-Normandie, Bourgogne, Bretagne, Centre, Champagne-Ardenne, Corse, Franche-Compte, Haute-Normandie, Ile-de-France, Languedoc-Rousillon, Limousin, Lorraine, Nord-Pas-de-Calais, Pays-de-la-Loire, Picardie, Poitou-Charentes, Provence-Alpes-Côte-D'azur, Rhône-Alpes, Midi-Pyrénées provinces",,Snow/ice,,,,,,,°C,,,,,2005,11,23,2005,11,27,6,,,,,,,,,,,72.0714104526569,1,1248;1249;1250;1251;1252;1253;1254;1255;1256;1257;1258;1259;1260;1262;1263;1264;1265;1266;1267;1268;1269;1270,,"Alsace, Aquitaine, Auvergne, Basse-Normandie, Bourgogne, Bretagne, Centre, Champagne-Ardenne, Corse, Franche-Comte, Haute-Normandie, Ile-de-France, Languedoc-Rousillon, Limousin, Lorraine, Midi-Pyrenees, Nord-Pas-de-Calais, Pays-de-la-Loire, Picardie, Poitou-Charentes, Provence-Alpes-Cote-d'Azur, Rhone-Alpes (Adm1)."
